guard_choice [*] :=
 1 0    9 0   17 0   25 0   33 1   41 0   49 0   57 0   65 0   73 0   81 1
 2 0   10 1   18 0   26 0   34 0   42 1   50 0   58 0   66 0   74 0
 3 0   11 0   19 0   27 0   35 0   43 0   51 0   59 0   67 1   75 0
 4 1   12 0   20 0   28 0   36 0   44 0   52 0   60 0   68 0   76 0
 5 0   13 0   21 0   29 0   37 0   45 1   53 1   61 0   69 0   77 0
 6 0   14 0   22 0   30 1   38 0   46 0   54 1   62 0   70 0   78 0
 7 0   15 0   23 1   31 0   39 1   47 0   55 0   63 0   71 1   79 0
 8 0   16 0   24 0   32 0   40 0   48 0   56 0   64 0   72 0   80 0
;

